form,lemma,POS,morph
vincit,uinco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
45,3,ADJcar,MORPH=empty
regis,rex,NOMcom,Case=Gen|Numb=Sing
iussa,iubeo,NOMcom,Case=Nom|Numb=Plur
sui,suus,PROpos.ref,Case=Gen|Numb=Sing|Gend=MascNeut
sed,sed,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
inpune,impune,ADV,Deg=Pos
locuta,loquor,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Dep
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
membratim,membratim,ADV,Deg=Pos
perdam,perdo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act
septem,septem,ADJcar,Case=Ind
quos,qui1,PROrel,Case=Acc|Numb=Plur|Gend=Masc
perfida,perfidus1,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
natos,natus1,NOMcom,Case=Acc|Numb=Plur
intra,intra2,PRE,MORPH=empty
se,sui1,PROref,Case=Acc|Numb=Sing
retinet,retineo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quorum,qui1,PROrel,Case=Gen|Numb=Plur|Gend=MascNeut
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
primus,primus,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Sup
habetur,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
48,3,ADJcar,MORPH=empty
hic,hic1,PROdem,Case=Nom|Numb=Sing
primus,primus,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Sup
pereat,pereo1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
perdas,perdo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
sic,sic,ADV,Deg=Pos
ordine,ordo,NOMcom,Case=Abl|Numb=Sing
cunctos,cunctus,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
50,3,ADJcar,MORPH=empty
cernat,cerno,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ut,ut4,CONsub,MORPH=empty
ipsa,ipse,PROdem,Case=Nom|Numb=Sing|Gend=Fem
suos,suus,PROpos.ref,Case=Acc|Numb=Plur|Gend=Masc
mater,mater,NOMcom,Case=Nom|Numb=Sing
nunc,nunc,ADV,Deg=Pos
aspera,asper,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
natos,natus1,NOMcom,Case=Acc|Numb=Plur
49,3,ADJcar,MORPH=empty
cratibus,crates,NOMcom,Case=Abl|Numb=Plur
inpositos,impono,VER,Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
subiectis,subicio,NOMcom,Case=Abl|Numb=Plur|Gend=Com
urere,uro,VER,Mood=Inf|Tense=Pres|Voice=Act
flammis,flamma,NOMcom,Case=Abl|Numb=Plur
51,3,ADJcar,MORPH=empty
poena,poena,NOMcom,Case=Nom|Numb=Sing
autem,autem,CONcoo,MORPH=empty
manet,maneo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
haec,hic1,PROdem,Case=Nom|Numb=Sing|Gend=Fem
